City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
244,Plymouth,US,2022-07-21 23:32:30,41.8334,-70.8328,81.37,83,100,13.8
245,Aswan,EG,2022-07-21 23:35:56,24.0934,32.907,87.1,17,0,12.66
246,Sao Felix Do Xingu,BR,2022-07-21 23:35:57,-6.6447,-51.995,75.58,47,14,1.74
247,Aripuana,BR,2022-07-21 23:35:57,-9.1667,-60.6333,78.57,48,6,1.25
248,Tecoanapa,MX,2022-07-21 23:35:57,16.5167,-98.75,85.06,75,68,7.2
249,Natal,BR,2022-07-21 23:35:57,-5.795,-35.2094,75.42,94,75,8.05
250,Cajimos,PH,2022-07-21 23:35:58,12.5946,122.2753,83.82,76,56,10.56
251,San Patricio,US,2022-07-21 23:33:32,28.017,-97.5169,93.54,57,30,18.68
252,Chinsali,ZM,2022-07-21 23:35:58,-10.5414,32.0816,55.72,70,64,3.42
253,Cheney,US,2022-07-21 23:35:42,47.4874,-117.5758,94.32,17,40,14.97
254,Vila Velha,BR,2022-07-21 23:35:59,-20.3297,-40.2925,71.55,90,75,3.44
255,Tokoroa,NZ,2022-07-21 23:35:59,-38.2333,175.8667,45.95,79,91,5.99
256,Havre-Saint-Pierre,CA,2022-07-21 23:35:59,50.2334,-63.5986,64.76,63,100,5.75
257,Goderich,CA,2022-07-21 23:36:00,43.7501,-81.7165,80.92,54,0,9.22
258,Jasper,US,2022-07-21 23:36:00,37.2001,-94.3502,103.98,22,20,4.61
259,Maple Creek,CA,2022-07-21 23:36:00,49.9168,-109.4848,87.85,18,2,11.5
260,High Level,CA,2022-07-21 23:36:01,58.5169,-117.136,55.51,94,100,4.61
261,Kupang,ID,2022-07-21 23:36:01,-10.1667,123.5833,78.78,67,99,13.69
262,Lavrentiya,RU,2022-07-21 23:31:55,65.5833,-171.0,39.83,83,100,21.41
263,Itarema,BR,2022-07-21 23:35:29,-2.9248,-39.9167,78.89,74,42,13.89
264,San Jose,US,2022-07-21 23:32:56,37.3394,-121.895,93.85,41,20,11.5
265,Mocuba,MZ,2022-07-21 23:36:02,-16.8392,36.9856,60.75,96,5,1.7
266,Molteno,ZA,2022-07-21 23:34:16,-31.3968,26.3625,44.83,50,0,7.25
267,Lorengau,PG,2022-07-21 23:36:02,-2.0226,147.2712,84.15,72,88,10.18
268,Namibe,AO,2022-07-21 23:32:24,-15.1961,12.1522,62.69,86,15,4.7
269,Svetlogorsk,BY,2022-07-21 23:36:03,52.6333,29.7333,57.24,95,31,6.8
270,Hovd,MN,2022-07-21 23:36:03,48.0056,91.6419,64.15,40,88,3.4
271,Toul,FR,2022-07-21 23:37:04,48.6667,5.9167,67.59,77,0,3.44
